# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
ren zhe chi dian ba 	忍着喫點吧	c=1 d=1 t=3110
ri 	日	c=0 d=0.1 t=5872
ri qi 	日期	c=8 d=1.18833 t=8886
ri xian 	日線	c=1 d=1 t=6435
ri zhi 	日誌	c=5 d=1.98513 t=15900
rong liang 	容量	c=1 d=1 t=6612
rong qi 	容器	c=4 d=1.07654 t=15631
rong yi 	容易	c=1 d=0.1 t=11499
rou 	肉	c=1 d=1 t=13665
rou lei 	肉類	c=1 d=1 t=5588
rou zai 	肉仔	c=4 d=1 t=16021
rou zai hao 	肉仔好	c=3 d=1 t=16022
ru 	入	c=0 d=0.1 t=4914
ru ge 	入個	c=1 d=1 t=7368
ru guo 	如果	c=59 d=2.18387 t=16285
ru guo bu xing 	如果不行	c=1 d=1 t=15684
ru guo bu xu 	如果不續	c=1 d=1 t=8849
ru he 	如何	c=28 d=1.91539 t=15987
ru jia 	儒家	c=1 d=1 t=1309
ru kou 	入口	c=0 d=0.1 t=14098
ru kou le 	入口了	c=1 d=1 t=14099
ru xia 	如下	c=1 d=0.146421 t=15825
ru zhi 	入職	c=1 d=1 t=864
ruan 	軟	c=0 d=0.1 t=10032
ruan jian 	軟件	c=5 d=1.0696 t=15994
ruan jian bao 	軟件包	c=1 d=1 t=14241
ruan jian yuan 	軟件園	c=0 d=0.1 t=15288
ruan lu you 	軟路由	c=2 d=1.00176 t=11302
rui hua 	瑞華	c=0 d=0.1 t=7227
rui hua tai 	瑞華泰	c=1 d=1 t=7228
run 	潤	c=3 d=1.01875 t=13390
run tu 	閏土	c=1 d=1 t=6042
ruo rou qiang shi 	弱肉強食	c=1 d=1 t=12473
sai dao 	賽道	c=1 d=1 t=6255
san 	三	c=0 d=0.1 t=16257
san 	傘	c=0 d=0.1 t=1229
san 	散	c=0 d=0.1 t=311
san ba 	三把	c=1 d=1 t=12275
san bu 	散步	c=2 d=1 t=3579
san dun 	三頓	c=2 d=1.83527 t=10718
san fa 	散發	c=1 d=1 t=12653
san ge 	三個	c=2 d=1 t=12291
san lu 	三路	c=0 d=0.1 t=15287
san nian 	三年	c=2 d=1.96079 t=14091
san quan fen li 	三權分立	c=1 d=1 t=9421
san san bu 	散散步	c=1 d=1 t=524
san wan 	三萬	c=0 d=0.1 t=13001
san wan liu 	三萬六	c=1 d=1 t=13002
san wei er 	散味兒	c=1 d=1 t=312
san yi zhong gong 	三一重工	c=1 d=1 t=13157
san zu ding li 	三足鼎立	c=1 d=1 t=9425
sang 	嗓	c=1 d=1 t=4399
sao 	嫂	c=0 d=0.1 t=13819
sao 	騷	c=0 d=0.1 t=14873
sao ma 	掃碼	c=3 d=1.00035 t=11253
sao ma 	騷馬	c=1 d=1 t=2569
se 	色	c=1 d=1 t=13138
se rui er 	色瑞二	c=1 d=1 t=14761
se tiao 	色調	c=1 d=1 t=15128
sen pa 	森怕	c=1 d=1 t=4151
sha 	啥	c=9 d=0.100002 t=15725
sha bi 	傻逼	c=0 d=0.1 t=6763
sha cai 	啥菜	c=1 d=0.1 t=13449
sha de 	啥的	c=17 d=1.00589 t=15399
sha dou 	啥都	c=0 d=0.1 t=11379
sha le 	啥了	c=2 d=0.206279 t=12239
sha le 	殺了	c=0 d=0.1 t=4369
sha shi hou 	啥時候	c=1 d=0.1 t=14385
sha shi hou a 	啥時候啊	c=1 d=1 t=1855
sha shi hou lai xi an le 	啥時候來西安了	c=1 d=1 t=10192
sha shou ce 	啥手冊	c=1 d=1 t=11760
sha wan yi er 	啥玩意兒	c=1 d=1 t=4949
sha xiang chi de 	啥想喫的	c=1 d=1 t=5570
sha ye mei kan dao 	啥也沒看到	c=1 d=1 t=12135
sha ye mei yan jiu 	啥也沒研究	c=1 d=1 t=10140
sha yi si 	啥意思	c=7 d=1 t=15869
sha zhu dao 	殺豬刀	c=1 d=1 t=2324
shan 	刪	c=0 d=0.100001 t=15661
shan chu 	刪除	c=2 d=1 t=14691
shan diao 	刪掉	c=3 d=1 t=15644
shan diao le 	刪掉了	c=2 d=1 t=5716
shan dong 	山東	c=3 d=1.0001 t=15643
shan dong lao 	山東佬	c=1 d=1 t=8308
shan jie ren yi 	善解人意	c=1 d=1 t=14310
shan le 	刪了	c=1 d=1 t=320
shan ni 	刪你	c=1 d=1 t=12929
shan shang 	山上	c=1 d=1.00088 t=5645
shan shang che ye 	山上撤也	c=1 d=1 t=4699
shan tu 	刪圖	c=2 d=1.99501 t=3982
shan xi 	陝西	c=5 d=1 t=15277
shan xi lao 	陝西佬	c=1 d=1 t=6710
shan xi sheng 	陝西省	c=8 d=6.65552 t=15308
shan xia 	山下	c=1 d=1 t=10944
shan yao 	山藥	c=1 d=1 t=13678
shan yi ge 	刪一個	c=1 d=0.960708 t=12966
shan yi xia 	刪一下	c=1 d=1 t=13285
shang 	上	c=9 d=1.14428 t=16290
shang 	商	c=0 d=0.1 t=10528
shang bai 	上百	c=0 d=0.1 t=1154
shang bai le ba 	上百了吧	c=1 d=1 t=1155
shang ban 	上班	c=3 d=1.09735 t=10583
shang ban shang ban 	上班上班	c=1 d=1 t=9832
shang bu shang ban 	上不上班	c=1 d=1 t=10584
shang ce suo 	上廁所	c=1 d=1 t=5481
shang che 	上車	c=2 d=0.1 t=12006
shang che le me 	上車了麼	c=1 d=1 t=12007
shang chi 	上齒	c=0 d=0.1 t=8972
shang chuan 	上傳	c=9 d=1 t=15180
shang chuan de hua 	上傳的話	c=1 d=1 t=349
shang chuan liang 	上傳量	c=1 d=0.100004 t=3676
shang ci 	上次	c=6 d=1.11844 t=13299
shang ci de 	上次的	c=1 d=1 t=12885
shang cuo 	上錯	c=0 d=0.1 t=11152
shang cuo hua jiao jia dui lang 	上錯花轎嫁對郎	c=2 d=1.99501 t=11154
shang de 	上的	c=1 d=1 t=11792
shang dian 	上電	c=0 d=0.194176 t=6614
shang dian 	上點	c=1 d=1 t=15990
shang dian 	商店	c=1 d=1 t=15991
shang dian hou 	上電後	c=1 d=1 t=6603
shang dian hou 	商店後	c=1 d=1 t=6602
shang dian shi 	上電時	c=1 d=1 t=6615
shang dian xin 	上點心	c=1 d=1 t=9979
shang du 	尚都	c=0 d=0.1 t=4670
shang duan 	上端	c=1 d=1 t=13625
shang fang 	上方	c=0 d=0.1 t=4564
shang fang ya li 	上方壓力	c=1 d=1 t=4565
shang jin 	尚進	c=1 d=1 t=12253
shang lai 	上來	c=0 d=0.1 t=3649
shang le 	上了	c=0 d=0.1 t=4960
shang liang 	上樑	c=1 d=1 t=6901
shang liang 	商量	c=1 d=1 t=6902
shang liang hao 	商量好	c=0 d=0.1 t=13900
shang liang hao le 	商量好了	c=1 d=1 t=13901
shang mian 	上面	c=3 d=1.00005 t=15787
shang mian shuo de zhe xie 	上面說的這些	c=1 d=1 t=14282
shang qu 	上去	c=1 d=0.1 t=13648
shang shi 	上世	c=1 d=1 t=7725
shang shi 	上市	c=1 d=1 t=7726
shang shi gong si 	上市公司	c=1 d=1 t=13409
shang shou 	上手	c=1 d=1 t=3249
shang tou 	上頭	c=1 d=1 t=12411
shang wang 	上網	c=3 d=1.04827 t=14065
shang wu 	上午	c=3 d=1.08959 t=11291
shang wu 	尚武	c=0 d=0.1 t=6657
shang wu gan jue 	尚武感覺	c=1 d=1 t=6658
shang wu hao 	上午好	c=1 d=1 t=11270
shang xia 	上下	c=1 d=1 t=4325
shang xian 	上線	c=2 d=1 t=16220
shang xian 	上限	c=1 d=1 t=1187
shang xing 	上行	c=1 d=0.1 t=14695
shang xing dai kuan 	上行帶寬	c=1 d=1 t=14696
shang yang 	商鞅	c=1 d=1 t=12402
shang yi ge 	上一個	c=2 d=1.97045 t=3901
shang yong che 	商用車	c=1 d=1 t=10161
shang zheng 	上證	c=1 d=1 t=6232
shang zhou 	上週	c=2 d=1.00003 t=11623
shang zhou jiu zai 	上週就在	c=1 d=1 t=7663
shao 	少	c=1 d=1.13886 t=12985
shao chi 	少喫	c=1 d=1 t=11099
shao chi dian 	少喫點	c=1 d=0.100389 t=10052
shao chi dian ya 	少喫點呀	c=1 d=1 t=10053
shao chi yi dian 	少喫一點	c=1 d=1 t=2672
shao deng 	稍等	c=15 d=1.0002 t=14899
shao deng xia 	稍等下	c=1 d=1 t=1452
shao deng yi xia 	稍等一下	c=2 d=1.24171 t=13564
shao le 	少了	c=3 d=1.92774 t=12847
shao liang 	少量	c=1 d=0.100453 t=4645
shao liang duo ci 	少量多次	c=4 d=1 t=13745
shao wei 	稍微	c=2 d=0.1 t=6813
shao wei bao yi dian 	稍微薄一點	c=1 d=1 t=6814
shao wei zao dian 	稍微早點	c=1 d=1 t=1621
shao yi dian 	少一點	c=1 d=1 t=2646
she bao 	社保	c=4 d=2.73958 t=15254
she bao zhuan yi 	社保轉移	c=1 d=1 t=15238
she bei 	設備	c=2 d=1.08512 t=12933
she bei le 	設備了	c=1 d=1 t=2985
she ji 	設計	c=2 d=1 t=11602
she you 	舍友	c=0 d=0.1 t=4943
she zhi 	設置	c=18 d=1.14161 t=15895
she zhi wei 	設置爲	c=2 d=1 t=16013
she zhi yi xia 	設置一下	c=1 d=1 t=9154
shei 	誰	c=3 d=1 t=11577
shei fa gei ni 	誰發給你	c=1 d=1 t=4888
shei zai 	誰在	c=0 d=0.1 t=5356
shei zai chu li 	誰在處理	c=1 d=1 t=5357
shen 	深	c=0 d=0.1 t=4979
shen 	甚	c=0 d=0.1 t=12351
shen bu shen 	甚不甚	c=1 d=1 t=12352
shen du 	深度	c=0 d=0.1 t=10316
shen fen zheng 	身份證	c=1 d=1.09501 t=9478
shen fen zheng bei mian 	身份證背面	c=1 d=1 t=9479
shen gou 	申購	c=1 d=1 t=7729
shen ji 	審計	c=1 d=1 t=13414
shen jing 	神經	c=0 d=0.1 t=13952
shen jing le 	神經了	c=1 d=1 t=13953
shen le 	深了	c=0 d=0.1 t=13153
shen me 	什麼	c=41 d=1.32975 t=15879
shen me biao qing 	什麼表情	c=1 d=1 t=11882
shen me cai 	什麼菜	c=0 d=0.1 t=11141
shen me de 	什麼的	c=5 d=1.0004 t=13756
shen me di fang 	什麼地方	c=0 d=0.1 t=16299
shen me dian gu 	什麼典故	c=1 d=1 t=2504
shen me dong xi 	什麼東西	c=0 d=0.1 t=3243
shen me dou hao shuo 	什麼都好說	c=1 d=1 t=2046
shen me fang mian 	什麼方面	c=1 d=1 t=10848
shen me gong neng 	什麼功能	c=1 d=1 t=15381
shen me hui yuan 	什麼會員	c=1 d=1 t=628
shen me jia 	什麼價	c=1 d=1 t=13716
shen me jiao 	什麼叫	c=1 d=1 t=14621
shen me jie dian 	什麼節點	c=1 d=1 t=9617
shen me mian 	什麼面	c=1 d=1 t=12317
shen me qing kuang 	什麼情況	c=0 d=0.1 t=11157
shen me qu 	什麼區	c=1 d=1 t=1711
shen me ren 	什麼人	c=0 d=0.1 t=12069
shen me shi 	什麼是	c=1 d=1 t=13550
shen me shi hou 	什麼時候	c=7 d=1.00001 t=13647
shen me shi hou cai neng hao 	什麼時候才能好	c=1 d=1 t=9739
shen me shui ping 	什麼水平	c=1 d=1 t=11303
shen me wan yi er 	什麼玩意兒	c=1 d=1 t=11977
shen me wen ti 	什麼問題	c=0 d=0.1 t=15005
shen me xian er 	什麼餡兒	c=1 d=1 t=10402
shen me yang 	什麼樣	c=2 d=0.1 t=16091
shen me yi si 	什麼意思	c=10 d=1.08586 t=13308
shen me yuan yin 	什麼原因	c=1 d=1 t=270
shen me zhi de mai 	什麼值得買	c=1 d=1 t=3557
shen me zhuang kuang 	什麼狀況	c=1 d=1 t=9884
shen me zhuang tai 	什麼狀態	c=1 d=1 t=14931
shen niu 	神牛	c=1 d=1 t=2200
shen qing 	申請	c=2 d=1 t=15263
shen ru 	深入	c=2 d=1 t=14186
shen shang 	身上	c=1 d=1 t=10506
shen shao 	甚少	c=1 d=1 t=14191
shen ti 	身體	c=3 d=1.00126 t=3720
shen ti bu shu fu 	身體不舒服	c=1 d=1 t=495
shen ti hao dian le 	身體好點了	c=1 d=1 t=2256
shen ti jian kang 	身體健康	c=1 d=1 t=13326
shen zhi you 	甚至有	c=1 d=1 t=14971
sheng 	剩	c=1 d=0.232655 t=13300
sheng 	生	c=0 d=0.1 t=2095
sheng 	省	c=1 d=1 t=13080
sheng bu liao duo shao 	剩不了多少	c=1 d=1 t=8366
sheng chan 	生產	c=0 d=0.1 t=5295
sheng chan huan jing 	生產環境	c=0 d=0.1 t=11613
sheng chan huan jing bu shu 	生產環境部署	c=1 d=1 t=11614
sheng guo 	勝過	c=1 d=1 t=4200
sheng huo 	生活	c=1 d=0.434617 t=10297
sheng ji 	升級	c=6 d=2.25296 t=15343
sheng ji le 	升級了	c=1 d=1.07531 t=15317
sheng ji wan le 	升級完了	c=1 d=1 t=3366
sheng ji xia 	升級下	c=1 d=1 t=3374
sheng ji yi xia 	升級一下	c=2 d=1.97531 t=3363
sheng ji zhi hou 	升級之後	c=1 d=1 t=13599
sheng li 	勝利	c=1 d=1 t=2149
sheng ming 	生命	c=0 d=0.1 t=3903
sheng ming zai yu 	生命在於	c=1 d=1 t=3904
sheng na me yi dian le 	剩那麼一點了	c=1 d=1 t=13301
sheng qi 	生氣	c=1 d=1.12649 t=1411
sheng ren 	勝任	c=0 d=0.1 t=3478
sheng ri 	生日	c=0 d=0.1 t=11360
sheng ri li 	生日禮	c=1 d=1 t=11361
sheng shi 	省事	c=0 d=0.1 t=10758
sheng xia 	剩下	c=2 d=1.00044 t=14654
sheng xia 	盛夏	c=1 d=1 t=13105
sheng xia de 	剩下的	c=3 d=1 t=13639
sheng xiao hai sha de 	生小孩啥的	c=1 d=1 t=2096
sheng yu jia zhi 	剩餘價值	c=1 d=1 t=580
shi 	事	c=3 d=1 t=13816
shi 	市	c=1 d=1 t=15267
shi 	是	c=145 d=3.57619 t=16276
shi 	時	c=1 d=1 t=8901
shi a 	是啊	c=48 d=1.00067 t=14399
shi an zhao 	是按照	c=1 d=1 t=13036
shi ba 	是吧	c=2 d=1.00001 t=2730
shi ba 	是把	c=1 d=1 t=10623
shi bai 	失敗	c=2 d=0.100022 t=14945
shi bai ba 	失敗吧	c=1 d=1 t=14946
shi bai le 	失敗了	c=1 d=1 t=14656
shi bie 	識別	c=3 d=1.09191 t=8696
shi bie bu dao 	識別不到	c=1 d=1 t=8680
shi bie le 	識別了	c=1 d=1 t=6614
shi bu 	是不	c=1 d=1 t=3606
shi bu hao jiao 	是不好叫	c=1 d=1 t=1498
shi bu shi 	是不是	c=25 d=1.96561 t=15709
shi chang 	市場	c=0 d=0.1 t=15982
shi chi sha 	是喫啥	c=1 d=1 t=5463
shi cong 	是從	c=1 d=1 t=7153
shi da le dian 	是大了點	c=1 d=1 t=4664
shi da shi 	實打實	c=1 d=1 t=11892
shi dang 	適當	c=0 d=0.1 t=9772
shi de 	是的	c=38 d=1.00143 t=15934
shi duo shao 	是多少	c=2 d=1 t=13718
shi e de me 	是餓的麼	c=1 d=1 t=9475
shi er 	事兒	c=2 d=0.215442 t=10933
shi fei 	試飛	c=0 d=0.1 t=14641
shi fei ke yi 	試飛可以	c=1 d=1 t=14642
shi fen zhong 	十分鐘	c=1 d=1 t=10391
shi fou 	是否	c=2 d=1 t=14643
shi fu 	師父	c=0 d=0.1 t=8894
shi fu me 	師父麼	c=1 d=1 t=8895
shi gai 	是該	c=1 d=1 t=2234
shi ge la ji 	是個垃圾	c=1 d=1 t=7227
shi ge shen me 	是個什麼	c=1 d=1 t=9734
shi gen 	是跟	c=1 d=0.1 t=8106
shi gu 	事故	c=1 d=1 t=10094
shi guan yu 	是關於	c=1 d=1 t=11237
shi guo 	試過	c=1 d=1 t=3368
shi he 	適合	c=1 d=1 t=13470
shi hen 	是很	c=0 d=0.1 t=1960
shi hen ke ai 	是很可愛	c=1 d=1 t=4986
shi hen nan 	是很難	c=1 d=1 t=1961
shi hou 	時候	c=16 d=1.09103 t=16128
shi hou chu 	時候出	c=1 d=1 t=11257
shi huai 	使壞	c=1 d=1 t=4644
shi hui 	實惠	c=1 d=1 t=15917
shi ji 	世紀	c=0 d=0.1 t=6027
shi ji cheng 	世紀城	c=1 d=0.1 t=15149
shi ji ge 	十幾個	c=1 d=1 t=1744
shi ji kuai 	十幾塊	c=0 d=0.1 t=4852
shi ji kuai qian 	十幾塊錢	c=1 d=1 t=4853
shi ji shang 	實際上	c=3 d=1.94649 t=13034
shi ji yi 	十幾億	c=1 d=1 t=12699
shi jian 	事件	c=1 d=1 t=2590
shi jian 	時間	c=6 d=0.100032 t=12119
shi jian chang 	時間長	c=0 d=0.1 t=11874
shi jian duan 	時間段	c=1 d=1 t=10007
shi jian duo kuai a 	時間多塊啊	c=1 d=1 t=10183
shi jian o 	時間哦	c=1 d=1 t=1596
shi jian she zhi 	時間設置	c=1 d=1 t=384
shi jian you dian jiu le 	時間有點久了	c=1 d=1 t=2507
shi ke yi 	是可以	c=1 d=1 t=1179
shi ke yi yong de 	是可以用的	c=1 d=1 t=11421
shi le 	試了	c=1 d=0.1 t=16249
shi li 	實例	c=2 d=1 t=13582
shi me 	什麼	c=3 d=1.00009 t=10296
shi mei you wen ti 	是沒有問題	c=1 d=1 t=2886
shi mei you wen ti de 	是沒有問題的	c=1 d=1 t=13257
shi na li 	是哪裏	c=2 d=1.36972 t=685
shi ni 	是你	c=3 d=1 t=9118
shi ni wang luo 	是你網絡	c=1 d=1 t=9721
shi nian pa jing sheng 	十年怕井繩	c=1 d=1 t=13365
shi pin 	視頻	c=3 d=0.100002 t=12373
shi pin le me 	視頻了麼	c=1 d=1 t=12374
shi qing 	事情	c=1 d=0.1 t=14477
shi qu 	是去	c=1 d=1 t=5769
shi qu 	時區	c=2 d=1 t=8406
shi qu le 	失去了	c=1 d=1 t=10130
shi sha 	是啥	c=1 d=0.1 t=12874
shi sha shi hou 	是啥時候	c=1 d=1 t=12875
shi shang 	世上	c=0 d=0.1 t=1939
shi shei 	是誰	c=1 d=1 t=7095
shi shen me 	是什麼	c=34 d=1.72537 t=16030
shi shen me qing kuang 	是什麼情況	c=1 d=1 t=11158
shi shen me yi si 	是什麼意思	c=1 d=1 t=16032
shi shi 	實時	c=0 d=0.1 t=8771
shi shi 	試試	c=28 d=0.220769 t=16254
shi shi ba 	試試吧	c=1 d=1 t=12906
shi shi dao zhang 	實時到帳	c=1 d=1 t=8772
shi shi hou 	是時候	c=1 d=1 t=9340
shi shi shang 	事實上	c=1 d=1 t=12480
shi shui 	嗜睡	c=1 d=1 t=12
shi shuo 	是說	c=1 d=1 t=16057
shi ta zi ji zuo 	是他自己做	c=1 d=1 t=13769
shi tang 	食堂	c=1 d=0.129981 t=7761
shi tang chi fan 	食堂吃飯	c=1 d=1 t=7077
shi tang li mian 	食堂裏面	c=1 d=1 t=7762
shi tong yi tai ji qi shang de 	是同一臺機器上的	c=1 d=1 t=1759
shi wan 	十萬	c=1 d=1 t=14408
shi wei sha 	是爲啥	c=1 d=1 t=10228
shi wo 	是我	c=4 d=1 t=10709
shi wo mai 	是我買	c=1 d=1 t=12972
shi xi 	實習	c=1 d=1 t=15452
shi xi sheng 	實習生	c=0 d=0.1 t=686
shi xia 	試下	c=0 d=0.1 t=5176
shi xian 	實現	c=0 d=0.1 t=10927
shi xiao le 	失效了	c=1 d=1 t=7144
shi yan shi 	實驗室	c=1 d=1.14353 t=2173
shi ye 	事業	c=0 d=0.1 t=908
shi ye 	實業	c=1 d=1 t=7148
shi ye bian 	事業編	c=2 d=1.7539 t=968
shi ye bian 	是也邊	c=1 d=1 t=908
shi ye bu 	事業部	c=2 d=1.81458 t=968
shi ye dan wei 	事業單位	c=1 d=1 t=15239
shi yi 	十一	c=2 d=1.91851 t=1810
shi yi qi 	是一起	c=1 d=1 t=2124
shi yi qun zhu 	是一羣豬	c=1 d=1 t=5764
shi yi xia 	試一下	c=10 d=1.06151 t=16261
shi yi yang 	是一樣	c=1 d=1 t=10660
shi yi yang de 	是一樣的	c=2 d=1 t=10634
shi yin wei 	是因爲	c=3 d=1.00001 t=9132
shi yin wei sha 	是因爲啥	c=1 d=1 t=2273
shi yong 	使用	c=14 d=0.365521 t=15879
shi yong 	是用	c=5 d=0.100082 t=16120
shi yong 	試用	c=1 d=1 t=1174
shi yong guo 	使用過	c=2 d=1.97045 t=14213
shi yong jiao cheng 	實用教程	c=1 d=1 t=14688
shi yong le 	使用了	c=1 d=1 t=2975
shi yong lv 	使用率	c=1 d=1 t=14748
shi yong shen me 	使用什麼	c=1 d=1 t=15880
shi you 	是有	c=0 d=0.1 t=1448
shi you dian man 	是有點慢	c=1 d=1 t=7500
shi you ren 	是有人	c=1 d=1 t=5509
shi you shen me xiao xi me 	是有什麼消息麼	c=1 d=1 t=1449
shi za hui shi 	是咋回事	c=1 d=1 t=4379
shi za hui shi er 	是咋回事兒	c=1 d=1 t=2398
shi zai 	實在	c=0 d=0.1 t=14980
shi zai 	是在	c=6 d=1.69351 t=15066
shi zai bu xing 	實在不行	c=2 d=1 t=9631
shi zai bu xing de hua 	是在不行的話	c=1 d=1 t=2748
shi zai xin shang bu lai 	實在欣賞不來	c=1 d=1 t=14981
shi zen me 	是怎麼	c=2 d=1.0696 t=12339
shi zen me hui shi 	是怎麼回事	c=1 d=1 t=1069
shi zhe 	試着	c=1 d=1 t=10428
shi zhe ge 	是這個	c=3 d=1.0007 t=16246
shi zhe yang 	是這樣	c=2 d=1 t=12481
shi zheng chang de 	是正常的	c=2 d=1 t=7334
shi zhi jiao bi 	失之交臂	c=1 d=1 t=12571
shou 	受	c=0 d=0.1 t=6455
shou 	收	c=0 d=0.1 t=11740
shou cang 	收藏	c=0 d=0.101398 t=11051
shou cang le 	收藏了	c=1 d=1 t=4296
shou cang zhi 	收藏之	c=1 d=1 t=11052
shou ce 	手冊	c=0 d=0.1 t=11759
shou dao 	受到	c=1 d=0.102221 t=9227
shou dao 	收到	c=8 d=1.57302 t=12775
shou dao le 	收到了	c=2 d=1.00322 t=12828
shou dao le me 	受到了麼	c=1 d=1 t=9228
shou dao le me 	收到了麼	c=1 d=1 t=12142
shou dao lian jie 	收到鏈接	c=1 d=1 t=4763
shou de liao 	受得了	c=0 d=0.1 t=1795
shou dong 	手動	c=2 d=1.01114 t=16277
shou dong qi ba 	手動起吧	c=1 d=1 t=15839
shou fei 	收費	c=1 d=1 t=5124
shou ge 	收個	c=0 d=0.1 t=10392
shou ge 	收割	c=0 d=0.1 t=13319
shou ge kuai di 	收個快遞	c=1 d=1 t=10393
shou ge wan le jiu pao 	收割完了就跑	c=1 d=1 t=13320
shou huo 	收貨	c=1 d=1 t=2535
shou ji 	手機	c=3 d=0.117774 t=15981
shou ji hao 	手機號	c=2 d=1 t=15224
shou ku 	受苦	c=0 d=0.1 t=1942
shou le 	收了	c=1 d=1 t=3747
shou le 	瘦了	c=0 d=0.1 t=4692
shou li xi 	收利息	c=1 d=1 t=11741
shou pan 	收盤	c=1 d=1 t=4524
shou qing 	售罄	c=1 d=1 t=11371
shou qing xu 	受情緒	c=1 d=1 t=6456
shou ru 	收入	c=1 d=1 t=1991
shou shui 	收稅	c=1 d=1 t=12749
shou wu ye fei 	收物業費	c=1 d=1 t=3065
shou xia 	收下	c=0 d=0.1 t=3045
shou xu fei 	手續費	c=1 d=1 t=12948
shou xu fei gao 	手續費高	c=1 d=1 t=6235
shou xun 	授勳	c=1 d=1 t=1213
shou zhua fan 	手抓飯	c=2 d=1 t=12101
shu 	書	c=2 d=1 t=11447
shu 	漱	c=0 d=0.1 t=5338
shu bi 	書幣	c=1 d=1 t=11444
shu cai 	蔬菜	c=1 d=0.1 t=9732
shu ci 	數次	c=1 d=1 t=3012
shu fu 	舒服	c=1 d=0.1 t=13885
shu fu ba 	舒服吧	c=1 d=1 t=13886
shu fu xie 	舒服些	c=1 d=1 t=9875
shu ji 	書籍	c=4 d=1.98024 t=15370
shu ji 	書記	c=3 d=1.99599 t=10111
shu ju 	數據	c=9 d=0.113257 t=15657
shu ju an quan 	數據安全	c=1 d=1 t=426
shu ju ba 	數據吧	c=1 d=1 t=15106
shu ju cun fang 	數據存放	c=1 d=1 t=10920
shu ju ke shi hua 	數據可視化	c=1 d=1 t=14724
shu ju ken ding mei le 	數據肯定沒了	c=1 d=1 t=15095
shu ju ku 	數據庫	c=27 d=5.01572 t=11805
shu ju ku me 	數據庫麼	c=1 d=1 t=5147
shu ju ku ming 	數據庫名	c=1 d=1 t=5640
shu ju le 	數據了	c=1 d=1 t=5293
shu ju me 	數據麼	c=1 d=1 t=5187
shu ju zhuan yi 	數據轉移	c=1 d=1 t=429
shu kou 	漱口	c=0 d=0.1 t=5338
shu le 	數了	c=0 d=0.1 t=12979
shu liang 	數量	c=2 d=1.00502 t=8418
shu liang shao 	數量少	c=1 d=1 t=3001
shu ping 	書評	c=1 d=1 t=11449
shu ren 	熟人	c=0 d=0.1 t=13692
shu ren jie shao 	熟人介紹	c=1 d=1 t=13693
shu ru 	輸入	c=3 d=1.00002 t=2572
shu ru fa 	輸入法	c=2 d=1.04642 t=634
shu shi xing 	舒適性	c=1 d=1 t=9934
shu shu kou 	漱漱口	c=1 d=1 t=5339
shu tiao 	薯條	c=1 d=1 t=8275
shu xi 	熟悉	c=1 d=1.09608 t=13618
shu yin 	樹陰	c=1 d=1 t=529
shu yu 	屬於	c=3 d=1 t=14178
shu zhi 	樹枝	c=0 d=0.1 t=4960
shu zhi zi shang le 	樹枝子上了	c=1 d=1 t=4961
shua 	刷	c=1 d=0.100004 t=10223
shua chu lai 	刷出來	c=1 d=1 t=10224
shua wan 	刷完	c=0 d=0.1 t=14902
shua wan le 	刷完了	c=1 d=1 t=14903
shua xin 	刷新	c=0 d=0.1 t=14900
shua ya 	刷牙	c=1 d=0.100004 t=7815
shuai 	帥	c=1 d=1 t=6734
shuai de ren 	帥的人	c=1 d=1 t=6199
shuang fang 	雙方	c=1 d=1 t=2043
shuang le 	爽了	c=1 d=1 t=3659
shuang pin 	雙拼	c=1 d=1 t=192
shuang tong dao 	雙通道	c=1 d=1 t=582
shui 	水	c=0 d=0.1 t=8861
shui 	誰	c=1 d=1 t=15317
shui guo 	水果	c=1 d=0.100305 t=5590
shui hui 	睡會	c=1 d=1 t=2514
shui hui 	誰會	c=0 d=0.1 t=2512
shui huo 	水貨	c=1 d=1 t=13559
shui jiao 	睡覺	c=1 d=0.100018 t=4368
shui jiao de shi hou 	睡覺的時候	c=1 d=1 t=4369
shui le hui 	睡了會	c=1 d=1 t=1584
shui li 	水裏	c=1 d=1 t=7536
shui ping 	水平	c=1 d=1 t=14322
shui qian 	睡前	c=1 d=1 t=6140
shui shuo 	誰說	c=0 d=0.1 t=10462
shui xue xi hao 	誰學習好	c=1 d=1 t=6730
shui zhi dao ne 	誰知道呢	c=2 d=1.65051 t=13144
shun chang 	順暢	c=0 d=0.1 t=3290
shun dao 	順道	c=1 d=1 t=5381
shun feng 	順豐	c=1 d=1 t=8497
shun feng 	順風	c=1 d=1 t=8496
shun xin 	順心	c=0 d=0.1 t=1900
shuo 	碩	c=0 d=0.1 t=6727
shuo 	說	c=17 d=0.243051 t=14411
shuo ba 	說吧	c=0 d=0.1 t=1646
shuo bu ding 	說不定	c=1 d=1 t=1837
shuo dao di 	說到底	c=1 d=1 t=10824
shuo de 	說得	c=3 d=1.00057 t=13978
shuo de 	說的	c=1 d=1.00012 t=15619
shuo de guo qu 	說得過去	c=0 d=0.1 t=3617
shuo ge 	說個	c=1 d=1 t=12765
shuo guo 	說過	c=1 d=1.00005 t=15524
shuo hua 	說話	c=0 d=0.100366 t=13362
